Mon Mar 27 13:54:33 2023: Hive (Z:\home\kali\LDF\radni_direktorijum\e2_29_2022\bogoljub_win10\Export\104827-SOFTWARE) is dirty.

Mon Mar 27 13:54:33 2023: Log opened.
Mon Mar 27 13:54:33 2023: File: Z:\home\kali\LDF\radni_direktorijum\e2_29_2022\bogoljub_win10\Export\104827-SOFTWARE
Mon Mar 27 13:54:33 2023: Environment set up.
Mon Mar 27 13:54:33 2023: Launching allowedenum v.20200511
Mon Mar 27 13:54:33 2023: Launching appcompatflags v.20200525
Mon Mar 27 13:54:33 2023: Launching appinitdlls v.20200427
Mon Mar 27 13:54:33 2023: Launching appkeys v.20200517
Mon Mar 27 13:54:33 2023: Launching apppaths v.20200511
Mon Mar 27 13:54:33 2023: Launching at v.20200525
Mon Mar 27 13:54:33 2023: Launching audiodev v.20200525
Mon Mar 27 13:54:33 2023: Launching btconfig v.20200526
Mon Mar 27 13:54:33 2023: Launching calibrator v.20200427
Mon Mar 27 13:54:33 2023: Launching clsid v.20200526
Mon Mar 27 13:54:58 2023: Launching cmd_shell v.20200515
Mon Mar 27 13:54:59 2023: Launching dcom v.20200525
Mon Mar 27 13:54:59 2023: Launching defender v.20200427
Mon Mar 27 13:54:59 2023: Launching disablemru v.20190924
Mon Mar 27 13:54:59 2023: Launching disablesr v.20200515
Mon Mar 27 13:54:59 2023: Launching drivers32 v.20200525
Mon Mar 27 13:54:59 2023: Launching emdmgmt v.20200511
Mon Mar 27 13:54:59 2023: Launching execpolicy v.20200517
Mon Mar 27 13:54:59 2023: Launching exefile v.20211214
Mon Mar 27 13:55:00 2023: Launching gpohist v.
Mon Mar 27 13:55:00 2023: Launching heap v.20200427
Mon Mar 27 13:55:00 2023: Launching ica_sessions v.20200528
Mon Mar 27 13:55:00 2023: Launching imagefile v.20200515
Mon Mar 27 13:55:00 2023: Launching injectdll64 v.20200427
Mon Mar 27 13:55:00 2023: Launching inprocserver v.20200427
Mon Mar 27 13:55:03 2023: Launching installer v.20200517
Mon Mar 27 13:55:03 2023: Launching killsuit v.20200427
Mon Mar 27 13:55:03 2023: Launching landesk v.20200517
Mon Mar 27 13:55:03 2023: Launching lastloggedon v.20200517
Mon Mar 27 13:55:03 2023: Launching licenses v.20200526
Mon Mar 27 13:55:03 2023: Launching macaddr v.20200515
Mon Mar 27 13:55:03 2023: Launching msis v.20200517
Mon Mar 27 13:55:03 2023: Launching netsh v.20200515
Mon Mar 27 13:55:03 2023: Launching networkcards v.20200518
Mon Mar 27 13:55:03 2023: Launching networklist v.20200518
Mon Mar 27 13:55:03 2023: Launching outlook_homepage v.20201002
Mon Mar 27 13:55:03 2023: Launching portdev v.20090118
Mon Mar 27 13:55:03 2023: Launching powershellcore v.20200525
Mon Mar 27 13:55:03 2023: Launching printdemon v.20200514
Mon Mar 27 13:55:03 2023: Launching profilelist v.20200518
Mon Mar 27 13:55:03 2023: Launching pslogging v.20200515
Mon Mar 27 13:55:03 2023: Launching psscript v.20200525
Mon Mar 27 13:55:03 2023: Launching run v.20200511
Mon Mar 27 13:55:03 2023: Launching runonceex v.20200427
Mon Mar 27 13:55:03 2023: Launching runvirtual v.20200427
Mon Mar 27 13:55:03 2023: Launching ryuk_gpo v.20200427
Mon Mar 27 13:55:03 2023: Launching schedagent v.20200518
Mon Mar 27 13:55:04 2023: Launching scriptleturl v.20200525
Mon Mar 27 13:55:05 2023: Launching secctr v.20200517
Mon Mar 27 13:55:05 2023: Launching sfc v.20200517
Mon Mar 27 13:55:05 2023: Launching shelloverlay v.20100308
Mon Mar 27 13:55:05 2023: Launching spp_clients v.20130429
Mon Mar 27 13:55:05 2023: Launching srum v.20200518
Mon Mar 27 13:55:05 2023: Launching ssid v.20200515
Mon Mar 27 13:55:05 2023: Launching susclient v.20200518
Mon Mar 27 13:55:05 2023: Launching systemindex v.20200518
Mon Mar 27 13:55:05 2023: Launching taskcache v.20200427
Mon Mar 27 13:55:05 2023: Launching tasks v.20200427
Mon Mar 27 13:55:06 2023: Launching termserv v.20200506
Mon Mar 27 13:55:06 2023: Launching thispcpolicy v.20200511
Mon Mar 27 13:55:06 2023: Launching uac v.20200427
Mon Mar 27 13:55:06 2023: Launching uacbypass v.20200511
Mon Mar 27 13:55:07 2023: Launching uninstall v.20200525
Mon Mar 27 13:55:07 2023: Launching wab v.20200427
Mon Mar 27 13:55:07 2023: Launching watp v.20200427
Mon Mar 27 13:55:07 2023: Launching wbem v.20200511
Mon Mar 27 13:55:07 2023: Launching winver v.20200525
Mon Mar 27 13:55:07 2023: Launching wow64 v.20200515
Mon Mar 27 13:55:07 2023: Launching wsh_settings v.20200517
